unique_id,name,name_clean,entity_type,lat,lon,star_rating,source,source_id,destination_id,destination_name
osmacc_23660843,DJH Jugendherberge Simmerath-Rurberg für Natur- und Abenteuersport,djh jugendherberge simmerath-rurberg für natur- und abenteuersport,Hostel,50.6123474,6.3702654,,osm_accommodation,23660843,Q1017,Aachen
osmacc_41830733,Hotel Julia,hotel julia,Hotel,50.9802157,6.2702255,,osm_accommodation,41830733,Q1017,Aachen
osmacc_60696041,Vlinderhöfke,vlinderhöfke,Hotel,50.7947542,5.7667233,,osm_accommodation,60696041,Q1017,Aachen
osmacc_75247306,Zum alten Schlagbaum,zum alten schlagbaum,Hotel,51.1294362,6.3214283,,osm_accommodation,75247306,Q1017,Aachen
osmacc_94614303,Hotel Esser,hotel esser,Hotel,51.1299771,6.3311522,3.0,osm_accommodation,94614303,Q1017,Aachen
osmacc_107357241,Centre Cycliste Remouchamps,centre cycliste remouchamps,Guesthouse,50.48316,5.7427131,,osm_accommodation,107357241,Q1017,Aachen
osmacc_134556736,Hotel Montana,hotel montana,Hotel,51.1506434,6.4579146,,osm_accommodation,134556736,Q1017,Aachen
osmacc_134740608,Hotel-Restaurant Lindenhof,hotel-restaurant lindenhof,Hotel,51.2054284,6.3416664,,osm_accommodation,134740608,Q1017,Aachen
osmacc_134753235,Hotel-Restaurant Kastanienhof,hotel-restaurant kastanienhof,Hotel,51.2298073,6.4885378,,osm_accommodation,134753235,Q1017,Aachen
osmacc_134779487,Hotel Rheydter Residenz,hotel rheydter residenz,Hotel,51.1643907,6.4526207,,osm_accommodation,134779487,Q1017,Aachen
osmacc_159074020,Hotel-Restaurant Rosenmeer,hotel-restaurant rosenmeer,Hotel,51.208554,6.4333627,,osm_accommodation,159074020,Q1017,Aachen
osmacc_205158921,Hotel Walram,hotel walram,Hotel,50.863403,5.8348133,,osm_accommodation,205158921,Q1017,Aachen
osmacc_220887103,Hotel am Hexenturm,hotel am hexenturm,Hotel,50.9207078,6.3561725,,osm_accommodation,220887103,Q1017,Aachen
osmacc_248469780,La Trouvaille,la trouvaille,Guesthouse,50.3933933,6.0914094,,osm_accommodation,248469780,Q1017,Aachen
osmacc_252362322,De Burghoeve,de burghoeve,Hotel,50.8716205,5.8158281,,osm_accommodation,252362322,Q1017,Aachen
osmacc_252369692,Dionysos,dionysos,Hotel,50.8625648,5.8293405,,osm_accommodation,252369692,Q1017,Aachen
osmacc_257319828,De Geulvallei,de geulvallei,Hotel,50.8703162,5.7918981,,osm_accommodation,257319828,Q1017,Aachen
osmacc_257922194,Hotel am Park,hotel am park,Hotel,51.0497372,6.2250731,3.0,osm_accommodation,257922194,Q1017,Aachen
osmacc_259862720,Bungalowpark Landsrade,bungalowpark landsrade,Villa,50.7838059,5.8852542,,osm_accommodation,259862720,Q1017,Aachen
osmacc_262626846,Parkhotel,parkhotel,Hotel,51.1609106,6.4429266,,osm_accommodation,262626846,Q1017,Aachen
osmacc_263863410,Hermes Appartementen,hermes appartementen,Hotel,50.8574189,5.811483,,osm_accommodation,263863410,Q1017,Aachen
osmacc_267222358,Palazzo Hotel,palazzo hotel,Hotel,51.2000436,6.4498785,,osm_accommodation,267222358,Q1017,Aachen
osmacc_270051558,hotel friends Hückelhoven,hotel friends hückelhoven,Hotel,51.0549423,6.2270428,,osm_accommodation,270051558,Q1017,Aachen
osmacc_275435586,NFH Ferien-Wanderheim Obermaubach,nfh ferien-wanderheim obermaubach,Hostel,50.7108104,6.4351044,,osm_accommodation,275435586,Q1017,Aachen
osmacc_276383582,Hotel Botterweck,hotel botterweck,Hotel,50.8641781,5.8324827,,osm_accommodation,276383582,Q1017,Aachen
osmacc_276384071,Dormio Wijnhotel Valkenburg,dormio wijnhotel valkenburg,Hotel,50.8690796,5.8322214,,osm_accommodation,276384071,Q1017,Aachen
osmacc_276384481,Hotel Courage,hotel courage,Hotel,50.8639927,5.8318419,,osm_accommodation,276384481,Q1017,Aachen
osmacc_279786599,Hotel am See,hotel am see,Hotel,50.7173672,6.4464847,,osm_accommodation,279786599,Q1017,Aachen
osmacc_281127607,Hotel Heidehaus,hotel heidehaus,Hotel,51.1737566,6.285387,,osm_accommodation,281127607,Q1017,Aachen
osmacc_281327971,Bauernhofpension Marga Hülsen,bauernhofpension marga hülsen,Guesthouse,51.1288332,6.3308142,,osm_accommodation,281327971,Q1017,Aachen
osmacc_281334353,Pension Zum Thomeshof,pension zum thomeshof,Guesthouse,51.1691792,6.2744925,,osm_accommodation,281334353,Q1017,Aachen
osmacc_286355652,De Perelaar,de perelaar,Guesthouse,50.7856663,5.7681838,,osm_accommodation,286355652,Q1017,Aachen
osmacc_286874174,Gut Kallerbend,gut kallerbend,Villa,50.6970572,6.4585855,,osm_accommodation,286874174,Q1017,Aachen
osmacc_293760898,Baden-Powell Haus,baden-powell haus,Hostel,51.1571788,6.4912332,,osm_accommodation,293760898,Q1017,Aachen
